camera_id,camera,kind,category,visible_clusters,false_positive_clusters,candidate_instances,actual_visible_instances,instance_waste_ratio
22,orbit_e1_300,orbit,RiverSeedling,9526,0,2266462,2266462,0.0
23,orbit_e1_330,orbit,Anthurium,17,0,138,138,0.0
23,orbit_e1_330,orbit,Nettle,19,0,330,330,0.0
23,orbit_e1_330,orbit,ShrubSorrel,2476,0,630176,630176,0.0
23,orbit_e1_330,orbit,Shrub,48,0,11337,11337,0.0
23,orbit_e1_330,orbit,Grass_B,1351,0,339865,339865,0.0
23,orbit_e1_330,orbit,Grass_A,1104,0,280985,280985,0.0
23,orbit_e1_330,orbit,Pyramid_Grass_B,185,0,44000,44000,0.0
23,orbit_e1_330,orbit,Pyramid_Moss,7953,0,2034610,2034610,0.0
23,orbit_e1_330,orbit,QueenForest,11596,30,587669,582585,0.008651128441350488
23,orbit_e1_330,orbit,RiverForest,12851,27,2297068,2276229,0.009071999609937537
23,orbit_e1_330,orbit,RiverSapling,1242,0,45000,45000,0.0
23,orbit_e1_330,orbit,RiverSeedling,9526,0,2266462,2266462,0.0
24,interior_00,interior,Anthurium,17,0,138,138,0.0
24,interior_00,interior,Nettle,19,0,330,330,0.0
24,interior_00,interior,ShrubSorrel,2476,0,630176,630176,0.0
24,interior_00,interior,Shrub,48,0,11337,11337,0.0
24,interior_00,interior,Grass_B,1351,0,339865,339865,0.0
24,interior_00,interior,Grass_A,1104,0,280985,280985,0.0
24,interior_00,interior,Pyramid_Grass_B,185,0,44000,44000,0.0
24,interior_00,interior,Pyramid_Moss,7953,0,2034610,2034610,0.0
24,interior_00,interior,QueenForest,8089,17,412113,403333,0.0213048362948997
24,interior_00,interior,RiverForest,9053,18,1623463,1587676,0.02204361910311476
24,interior_00,interior,RiverSapling,1242,0,45000,45000,0.0
24,interior_00,interior,RiverSeedling,9526,0,2266462,2266462,0.0
25,interior_01,interior,Anthurium,0,0,0,0,0
25,interior_01,interior,Nettle,0,0,0,0,0
25,interior_01,interior,ShrubSorrel,0,0,0,0,0
25,interior_01,interior,Shrub,0,0,0,0,0
25,interior_01,interior,Grass_B,0,0,0,0,0
25,interior_01,interior,Grass_A,0,0,0,0,0
25,interior_01,interior,Pyramid_Grass_B,0,0,0,0,0
25,interior_01,interior,Pyramid_Moss,0,0,0,0,0
25,interior_01,interior,QueenForest,993,7,50795,47217,0.07044000393739541
25,interior_01,interior,RiverForest,1084,5,193243,178653,0.0755007943366642
25,interior_01,interior,RiverSapling,0,0,0,0,0
25,interior_01,interior,RiverSeedling,0,0,0,0,0
26,interior_02,interior,Anthurium,0,0,0,0,0
26,interior_02,interior,Nettle,0,0,0,0,0
26,interior_02,interior,ShrubSorrel,0,0,0,0,0
26,interior_02,interior,Shrub,0,0,0,0,0
26,interior_02,interior,Grass_B,0,0,0,0,0
26,interior_02,interior,Grass_A,0,0,0,0,0
26,interior_02,interior,Pyramid_Grass_B,0,0,0,0,0
26,interior_02,interior,Pyramid_Moss,0,0,0,0,0
26,interior_02,interior,QueenForest,974,5,44233,40523,0.0838740307010603
26,interior_02,interior,RiverForest,1027,3,179592,165675,0.07749231591607644
26,interior_02,interior,RiverSapling,0,0,0,0,0
26,interior_02,interior,RiverSeedling,0,0,0,0,0
27,interior_03,interior,Anthurium,17,0,138,138,0.0
27,interior_03,interior,Nettle,19,0,330,330,0.0
27,interior_03,interior,ShrubSorrel,2476,0,630176,630176,0.0
27,interior_03,interior,Shrub,48,0,11337,11337,0.0
27,interior_03,interior,Grass_B,1351,0,339865,339865,0.0
27,interior_03,interior,Grass_A,1104,0,280985,280985,0.0
27,interior_03,interior,Pyramid_Grass_B,185,0,44000,44000,0.0
27,interior_03,interior,Pyramid_Moss,7953,0,2034610,2034610,0.0
27,interior_03,interior,QueenForest,8072,13,420874,412446,0.02002499560438516
27,interior_03,interior,RiverForest,9058,10,1633402,1599716,0.020623214615875334
27,interior_03,interior,RiverSapling,1242,0,45000,45000,0.0
27,interior_03,interior,RiverSeedling,9526,0,2266462,2266462,0.0
28,interior_04,interior,Anthurium,0,0,0,0,0
28,interior_04,interior,Nettle,0,0,0,0,0
28,interior_04,interior,ShrubSorrel,0,0,0,0,0
28,interior_04,interior,Shrub,0,0,0,0,0
28,interior_04,interior,Grass_B,0,0,0,0,0
28,interior_04,interior,Grass_A,0,0,0,0,0
28,interior_04,interior,Pyramid_Grass_B,0,0,0,0,0
28,interior_04,interior,Pyramid_Moss,0,0,0,0,0
28,interior_04,interior,QueenForest,3598,27,189718,183141,0.03466724296060469
28,interior_04,interior,RiverForest,4029,28,721519,695892,0.035518122183892595
28,interior_04,interior,RiverSapling,0,0,0,0,0
28,interior_04,interior,RiverSeedling,0,0,0,0,0
29,interior_05,interior,Anthurium,0,0,0,0,0
29,interior_05,interior,Nettle,0,0,0,0,0
29,interior_05,interior,ShrubSorrel,0,0,0,0,0
29,interior_05,interior,Shrub,0,0,0,0,0
29,interior_05,interior,Grass_B,0,0,0,0,0
29,interior_05,interior,Grass_A,0,0,0,0,0
29,interior_05,interior,Pyramid_Grass_B,0,0,0,0,0
29,interior_05,interior,Pyramid_Moss,0,0,0,0,0
29,interior_05,interior,QueenForest,2493,8,135348,130181,0.038175665691402905
29,interior_05,interior,RiverForest,2759,11,494152,473785,0.04121606307371011
29,interior_05,interior,RiverSapling,0,0,0,0,0
29,interior_05,interior,RiverSeedling,0,0,0,0,0
30,interior_06,interior,Anthurium,0,0,0,0,0
30,interior_06,interior,Nettle,0,0,0,0,0
30,interior_06,interior,ShrubSorrel,0,0,0,0,0
30,interior_06,interior,Shrub,0,0,0,0,0
30,interior_06,interior,Grass_B,0,0,0,0,0
30,interior_06,interior,Grass_A,0,0,0,0,0
30,interior_06,interior,Pyramid_Grass_B,0,0,0,0,0
30,interior_06,interior,Pyramid_Moss,0,0,0,0,0
30,interior_06,interior,QueenForest,2508,2,120626,115521,0.042320892676537394
30,interior_06,interior,RiverForest,2702,3,468689,448171,0.043777430236254744
30,interior_06,interior,RiverSapling,0,0,0,0,0
30,interior_06,interior,RiverSeedling,0,0,0,0,0
31,interior_07,interior,Anthurium,0,0,0,0,0
31,interior_07,interior,Nettle,0,0,0,0,0
31,interior_07,interior,ShrubSorrel,0,0,0,0,0
31,interior_07,interior,Shrub,0,0,0,0,0
31,interior_07,interior,Grass_B,0,0,0,0,0
31,interior_07,interior,Grass_A,0,0,0,0,0
31,interior_07,interior,Pyramid_Grass_B,0,0,0,0,0
31,interior_07,interior,Pyramid_Moss,0,0,0,0,0
31,interior_07,interior,QueenForest,3612,14,177096,170965,0.03461964132447938
31,interior_07,interior,RiverForest,3869,11,703652,678148,0.03624518938338838
31,interior_07,interior,RiverSapling,0,0,0,0,0
31,interior_07,interior,RiverSeedling,0,0,0,0,0
32,top_00,top,Anthurium,17,0,138,138,0.0
